"sample","Cells | Freq. of Parent","Cells | Count","Cells/Viable cells | Count","Cells/Viable cells | Freq. of Cells","Cells/Viable cells/ O4+,CD11B- | Count","Cells/Viable cells/ O4+,CD11B- | Freq. of Viable cells","Cells/Viable cells/CD11B+ | Count","Cells/Viable cells/CD11B+ | Freq. of Viable cells","Cells/Viable cells/CD11B-, O4-/ACSA2+ | Count","Cells/Viable cells/CD11B-, O4-/ACSA2+ | Freq. of Viable cells","Cells/Viable cells/CD11B-, O4-/ACSA2-/neurons* | Count","Cells/Viable cells/CD11B-, O4-/ACSA2-/neurons* | Freq. of Viable cells","Cells/Viable cells/CD11B-, O4-/ACSA2-/neurons** | Count","Cells/Viable cells/CD11B-, O4-/ACSA2-/neurons** | Freq. of Viable cells"
"MACS - 1508 A.fcs","74.0 %",101994,101858,"99.9 %",164,"0.16 %",16,"0.016 %",74,"0.073 %",89995,"88.4 %",11674,"11.5 %"
"MACS - 1508 B.fcs","73.5 %",44715,44625,"99.8 %",86,"0.19 %",7,"0.016 %",2,"4.48E-3 %",38900,"87.2 %",4541,"10.2 %"
"MACS - 1508 C.fcs","45.3 %",36365,35781,"98.4 %",921,"2.57 %",69,"0.19 %",1,"2.79E-3 %",28929,"80.9 %",3692,"10.3 %"
"MACS - 1508 D.fcs","36.6 %",10587,10303,"97.3 %",288,"2.80 %",31,"0.30 %",0,"0 %",7814,"75.8 %",1490,"14.5 %"
"MACS - 1608 A.fcs","15.0 %",149826,147044,"98.1 %",38905,"26.5 %",6281,"4.27 %",3054,"2.08 %",31913,"21.7 %",9847,"6.70 %"
"MACS - 1608 B.fcs","13.1 %",16469,15548,"94.4 %",4994,"32.1 %",480,"3.09 %",88,"0.57 %",5390,"34.7 %",3421,"22.0 %"
"MACS - 1608 C.fcs","40.3 %",141811,139240,"98.2 %",9774,"7.02 %",650,"0.47 %",102,"0.073 %",97299,"69.9 %",9279,"6.66 %"
"MACS - 1608 D.fcs","5.38 %",20404,20180,"98.9 %",4921,"24.4 %",114,"0.56 %",90,"0.45 %",1573,"7.79 %",870,"4.31 %"
"MACS + 1508 A.fcs","10.8 %",47101,45831,"97.3 %",4885,"10.7 %",4773,"10.4 %",6392,"13.9 %",2812,"6.14 %",629,"1.37 %"
"MACS + 1508 B.fcs","13.3 %",93270,89265,"95.7 %",11901,"13.3 %",21567,"24.2 %",12743,"14.3 %",5241,"5.87 %",2116,"2.37 %"
"MACS + 1508 C.fcs","4.52 %",13744,13215,"96.2 %",1826,"13.8 %",1255,"9.50 %",2370,"17.9 %",475,"3.59 %",254,"1.92 %"
"MACS + 1508 D.fcs","3.36 %",9415,9183,"97.5 %",1983,"21.6 %",568,"6.19 %",845,"9.20 %",338,"3.68 %",229,"2.49 %"
"MACS + 1608 A.fcs","4.71 %",14739,14215,"96.4 %",2092,"14.7 %",852,"5.99 %",1288,"9.06 %",280,"1.97 %",210,"1.48 %"
"MACS + 1608 B.fcs","6.51 %",19870,18759,"94.4 %",2813,"15.0 %",2935,"15.6 %",2635,"14.0 %",702,"3.74 %",528,"2.81 %"
"MACS Pre-sort 1508 A.fcs","18.8 %",133625,131179,"98.2 %",9274,"7.07 %",13391,"10.2 %",7761,"5.92 %",74332,"56.7 %",3825,"2.92 %"
"MACS Pre-sort 1508 B.fcs","10.6 %",46636,45193,"96.9 %",5528,"12.2 %",8988,"19.9 %",4884,"10.8 %",15588,"34.5 %",1012,"2.24 %"
"MACS Pre-sort 1508 C.fcs","10.9 %",45478,44810,"98.5 %",7538,"16.8 %",11261,"25.1 %",4816,"10.7 %",4225,"9.43 %",1019,"2.27 %"
"MACS Pre-sort 1508 D.fcs","6.93 %",38080,37609,"98.8 %",11873,"31.6 %",4333,"11.5 %",1872,"4.98 %",1652,"4.39 %",787,"2.09 %"
"MACS Pre-sort 1608 A.fcs","5.78 %",5777,5737,"99.3 %",1926,"33.6 %",246,"4.29 %",544,"9.48 %",129,"2.25 %",54,"0.94 %"
"MACS Pre-sort 1608 B.fcs","9.88 %",9879,9781,"99.0 %",2733,"27.9 %",1927,"19.7 %",1129,"11.5 %",549,"5.61 %",292,"2.99 %"
"MACS Pre-sort 1608 C.fcs","13.6 %",13558,13148,"97.0 %",3628,"27.6 %",2054,"15.6 %",1071,"8.15 %",1448,"11.0 %",312,"2.37 %"
"MACS Pre-sort 1608 D.fcs","4.63 %",4634,4597,"99.2 %",1379,"30.0 %",126,"2.74 %",165,"3.59 %",115,"2.50 %",71,"1.54 %"
"2023-08-17_TM gentleMACS brain sort_Sort 1508 A.fcs","7.90 %",26836,19891,"74.1 %",2553,"21.0 %",714,"3.59 %",2553,"12.8 %",7603,"38.2 %",208,"1.05 %"
"2023-08-17_TM gentleMACS brain sort_Sort 1508 B.fcs","9.70 %",26383,19509,"73.9 %",2922,"20.3 %",1617,"8.29 %",2922,"15.0 %",6611,"33.9 %",180,"0.92 %"
"2023-08-17_TM gentleMACS brain sort_Sort 1608 B.fcs","4.94 %",21099,16217,"76.9 %",4215,"16.4 %",2609,"16.1 %",4215,"26.0 %",562,"3.47 %",281,"1.73 %"
"2023-08-17_TM gentleMACS brain sort_Sort 1608 C.fcs","7.02 %",26384,19927,"75.5 %",4273,"15.9 %",2143,"10.8 %",4273,"21.4 %",1207,"6.06 %",103,"0.52 %"
"2023-08-17_TM gentleMACS brain sort_Sort 1608 D.fcs","1.67 %",13086,10304,"78.7 %",375,"0.18 %",655,"6.36 %",375,"3.64 %",3168,"30.7 %",1545,"15.0 %"
