sample,cells_count,cells_vaible_count,Cells/Viable cells | Freq. of Total,cells_viable_pct,O4_PE_count,O4_PE_pct,CD11B_APC_count,CD11B_APC_pct,ACSA2_FITC_count,ACSA2_FITC_pct,neuron_hi_count,neuron_hi_pct,neuron_lo_count,neuron_lo_pct,MACS_fraction
Astrocytes A.fcs,42882,32898,6.63,76.7,7199,21.9,155,0.47000000000000003,23765,72.2,235,0.71,167,0.51,ACSA2_fraction
Astrocytes B.fcs,134,119,3.3499999999999996,88.8,3,2.52,0,0,10,8.4,45,37.8,34,28.6,ACSA2_fraction
Astrocytes C.fcs,98059,76755,6.25,78.3,22105,28.8,323,0.42000000000000004,49062,63.9,911,1.1900000000000002,684,0.89,ACSA2_fraction
Astrocytes D.fcs,57769,48141,4.55,83.3,16924,35.2,176,0.37,27472,57.1,575,1.1900000000000002,397,0.8200000000000001,ACSA2_fraction
Astrocytes E.fcs,73688,57975,6.970000000000001,78.7,16656,28.7,167,0.29000000000000004,36946,63.7,523,0.9,451,0.7799999999999999,ACSA2_fraction
Astrocytes F.fcs,38457,30087,19.7,78.2,3436,11.4,101,0.33999999999999997,24722,82.2,184,0.61,152,0.51,ACSA2_fraction
Microglia A.fcs,50408,22740,27.1,45.1,223,0.98,21323,93.8,105,0.46,215,0.9500000000000001,142,0.62,CD11B_fraction
Microglia B.fcs,43904,22291,31.7,50.8,80,0.36,21182,95,22,0.09899999999999999,183,0.8200000000000001,113,0.51,CD11B_fraction
Microglia C.fcs,58411,28793,31.9,49.3,162,0.56,27288,94.8,46,0.16,211,0.73,149,0.52,CD11B_fraction
Microglia D.fcs,51094,26172,31.6,51.2,205,0.7799999999999999,24769,94.6,36,0.14,177,0.6799999999999999,123,0.47000000000000003,CD11B_fraction
Microglia E.fcs,44640,22498,32.2,50.4,116,0.52,21304,94.7,46,0.2,207,0.92,152,0.6799999999999999,CD11B_fraction
Microglia F.fcs,52124,29180,40.8,56,43,0.15000000000000002,27928,95.7,34,0.12000000000000001,221,0.76,155,0.53,CD11B_fraction
Neurons A.fcs,22683,20206,11.1,89.1,14712,72.8,8,0.04,28,0.14,3548,17.6,2329,11.5,neuron_fraction
Neurons B.fcs,75273,72054,7.76,95.7,51771,71.9,127,0.18,270,0.37,9790,13.6,9224,12.8,neuron_fraction
Oligos A.fcs,118416,110026,8.84,92.9,101510,92.3,521,0.47000000000000003,1525,1.3900000000000001,1402,1.27,1152,1.05,O4_fraction
Oligos B.fcs,114571,103533,8.39,90.4,98179,94.8,58,0.056,1621,1.57,681,0.6599999999999999,541,0.52,O4_fraction
Oligos C.fcs,159692,153344,9.99,96,143531,93.6,506,0.32999999999999996,1741,1.1400000000000001,1574,1.03,1358,0.89,O4_fraction
Oligos D.fcs,153217,151833,11.1,99.1,148174,97.6,417,0.27,486,0.32,693,0.46,515,0.33999999999999997,O4_fraction
Oligos E.fcs,182805,178428,10.3,97.6,167860,94.1,2952,1.6500000000000001,1332,0.75,1333,0.75,1104,0.62,O4_fraction
Oligos F.fcs,15540,13643,10.6,87.8,10266,75.2,209,1.53,1097,8.04,317,2.32,241,1.77,O4_fraction
